id,value1,value2,category
0,0.839870072771565,20,A
1,-0.39283187513299517,12,B
2,0.8939420047583836,19,A
3,-1.5283285515656821,43,A
4,-2.4548069129785435,45,B
5,0.2529821695078217,57,B
6,1.9127459199116603,92,B
7,0.04627111496412113,38,A
8,1.0262810729948848,78,A
9,0.11650964221829348,63,B
10,2.2615293449779608,68,C
11,-0.41637115144930514,48,A
12,-1.1327387163671174,61,B
13,-0.7619995066699727,48,A
14,-1.381627398038013,23,B
15,-1.3191209239115593,45,A
16,-0.5379130642886039,95,C
17,-1.3438503388603569,6,B
18,0.6299616278096682,43,A
19,0.8829636737139884,79,A
20,0.14046700684995966,90,C
21,1.1778573228425853,19,A
22,2.674352202011861,73,B
23,0.27760315220914006,94,B
24,-0.7742528447981221,30,C
25,1.6079439112191614,2,A
26,0.951971566355437,14,A
27,-0.6155909871125091,95,A
28,0.03672232859749442,87,C
29,-0.3083965964441295,20,B
30,0.39546237703524206,8,B
31,-1.5297974411926736,40,B
32,-0.4332523273377741,43,A
33,0.1516566733429286,79,B
34,-1.1093009234383413,5,C
35,0.6376934284065294,10,A
36,0.06867394057034076,63,C
37,-0.9997285556045407,38,B
38,0.46992209776027594,79,C
39,-0.8792869995778062,1,B
40,-0.374362579862531,98,B
41,1.4608194544944015,85,C
42,0.2791830434618703,14,C
43,-0.5693007582561961,93,A
44,0.6130877099099162,42,B
45,0.4544158698387252,77,A
46,-0.5004534778246449,83,C
47,-1.1659983291077136,84,B
48,-0.5210781223025106,63,B
49,0.36937557021797934,91,B
50,-1.331840124144071,2,A
51,-0.5416173330839862,13,C
52,-0.36772044300336837,1,A
53,-0.45931300484059834,84,A
54,-2.181213028234112,88,A
55,-0.23316313748925827,17,C
56,0.14299475424744984,48,A
57,1.4896411516806938,59,B
58,1.0165010026806185,41,A
59,-0.1020607534818687,61,A
60,1.5758856189696762,67,B
61,-1.359979638246522,23,A
62,-1.4208883423306529,35,A
63,0.5910756054985604,71,A
64,-0.43385884155520693,68,C
65,0.6364328774743121,31,B
66,-1.247153746505383,6,B
67,-1.045300139584465,11,B
68,-0.7024370744576942,90,B
69,0.7248535630607482,86,B
70,-0.4102134271166166,2,C
71,0.310223838632436,18,B
72,0.8640704758982627,58,B
73,0.30726202891095894,10,B
74,0.8737838667945389,78,B
75,-0.35936042425586756,20,A
76,0.4365684091662275,35,C
77,0.1572842428935896,50,C
78,-0.6763739689474191,39,A
79,0.5546854108459279,32,B
80,-0.5714445773092526,50,B
81,-0.7135396500839043,10,C
82,0.4004056143111718,47,A
83,0.0559305994744733,55,B
84,1.0658091532639051,9,C
85,0.7159113477365032,32,C
86,0.25613234903174703,41,B
87,0.10538805297157375,25,A
88,-0.691405957123032,71,A
89,0.5031581472670802,62,C
90,0.6765750925668718,29,C
91,0.32936478619965043,79,B
92,0.5370451629935835,30,B
93,-2.594703786984096,30,C
94,1.4307828362436203,10,A
95,-0.9270306310526947,46,C
96,-1.0795688623230382,82,C
97,0.09632567926529809,58,C
98,-0.7955613697228073,79,B
99,0.7924879938665401,8,A
100,0.17763967633732733,73,C
101,1.2878456483892835,65,C
102,-1.221186213180621,31,B
103,0.005782595430361109,42,A
104,-0.3119892012822655,83,B
105,-0.15390689050026612,31,C
106,0.2355274195986992,39,B
107,-0.47338088897342484,59,C
108,0.6279497443402738,2,A
109,1.4367468783668804,27,A
110,0.1074230178650415,98,C
111,-0.8033625844062895,80,B
112,-0.020610459145685333,33,A
113,1.4290558064508052,80,A
114,1.0306726876601833,24,A
115,0.4669328458994349,17,C
116,0.26937105640979186,61,C
117,1.2081573255008595,37,C
118,-0.6350788922832916,66,A
119,-0.8996807543058989,63,C
120,-0.7348621862714659,84,B
121,0.9746525378499892,42,A
122,-0.2915973298696327,52,C
123,-2.063931238654852,72,A
124,-0.5687809117120289,43,A
125,-1.5305508809118697,3,A
126,-0.8720838075348917,64,B
127,-0.9492957637761817,30,A
128,-0.11419321988557299,66,C
129,-0.4833472453953123,44,C
130,-0.20055921783698205,39,A
131,0.7154707593668284,18,A
132,0.22931823750481353,96,C
133,0.45377631210864916,58,B
134,0.9833176973840878,76,C
135,-0.018014763607387546,28,A
136,-0.3501329963712857,56,A
137,1.2585874493800797,80,A
138,0.8125630161736918,35,C
139,0.12590595110861355,8,A
140,0.36600644978782854,96,C
141,0.550084682635322,96,C
142,-0.46851277457518137,77,B
143,2.2047570772488987,98,A
144,-1.2241011978807268,35,A
145,0.5785170112053155,42,B
146,-1.0299986586457073,24,B
147,0.0965852046752297,31,A
148,-0.185788974705188,76,A
149,1.1478304670025297,54,A
150,1.5184492543151746,72,C
151,0.31902319096262505,26,C
152,-0.17433798867349615,73,A
153,0.49237863747736066,18,C
154,-1.6427033399805353,12,A
155,-0.4903746064898906,11,B
156,1.5681922674221405,5,B
157,-0.37864606400136913,14,A
158,0.9712110419320861,17,B
159,-0.6384207371100052,15,B
160,2.5238306930496783,84,C
161,-0.0729660959823764,30,B
162,0.31652272440734663,2,A
163,-1.1058598388318306,86,B
164,1.092227271677942,48,B
165,-0.9103362609130828,36,C
166,0.6473549620526954,54,C
167,0.5957113999459906,38,C
168,0.7206993734747309,26,B
169,1.1214506382690372,14,C
170,-0.04692294422835795,44,C
